accession	tax_id	species	order	assembly_name	assembly_level	contig_n50	total_length	release_date	annotation_name	source_database	datasets_version	retrieved_at	download_uri	source_checksum_type	source_checksum	source_size_bytes	sequence_sha256	fallback_needed	selected	selection_reason
GCF_018350215.1	9689	Panthera leo	Carnivora	P.leo_Ple1_pat1.1	Chromosome	77781637	2297552363	2021-05-13	NCBI Panthera leo Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_046562875.1	9690	Panthera onca	Carnivora	mPanOnc1 haplotype 2	Chromosome	42469011	2487960463	2025-01-08	GCF_046562875.1-RS_2026_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_024362965.1	9691	Panthera pardus	Carnivora	ASM2436296v1	Scaffold	22236240	2441326314	2022-07-21	GCF_024362965.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_018350195.1	9694	Panthera tigris	Carnivora	P.tigris_Pti1_mat1.1	Chromosome	74391967	2408678698	2021-05-13	NCBI Panthera tigris Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_023721935.1	29064	Panthera uncia	Carnivora	Puncia_PCG_1.0	Chromosome	179517	2433972596	2022-06-16	GCF_023721935.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_004348235.1	9720	Phoca vitulina	Carnivora	GSC_HSeal_1.0	Scaffold	283887	2363579318	2019-02-11	NCBI Phoca vitulina Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_016509475.1	37029	Prionailurus bengalensis	Carnivora	Fcat_Pben_1.1_paternal_pri	Chromosome	82622880	2435702060	2021-01-06	NCBI Prionailurus bengalensis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_022837055.1	61388	Prionailurus viverrinus	Carnivora	UM_Priviv_1.0	Chromosome	68766634	2461545606	2022-04-08	GCF_022837055.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028749965.1	9696	Puma concolor	Carnivora	mPumCon1.1.hap2	Chromosome	65828543	2368682789	2023-08-04	GCF_028749965.1-RS_2026_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_006229205.1	37032	Suricata suricatta	Carnivora	meerkat_22Aug2017_6uvM2_HiC	Chromosome	75409	2353578744	2019-07-03	NCBI Suricata suricatta Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_020975775.1	9643	Ursus americanus	Carnivora	gsc_jax_bbear_1.0	Contig	13882922	2351947609	2021-11-24	NCBI Ursus americanus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_023065955.2	9644	Ursus arctos	Carnivora	UrsArc2.0	Chromosome	35674000	2423401459	2023-05-22	GCF_023065955.2-RS_2023_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_017311325.1	29073	Ursus maritimus	Carnivora	ASM1731132v1	Scaffold	206653	2330468424	2021-03-09	NCBI Ursus maritimus Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_018345385.1	494514	Vulpes lagopus	Carnivora	ASM1834538v1	Chromosome	33460300	2345533697	2021-05-12	NCBI Vulpes lagopus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_048418805.1	9627	Vulpes vulpes	Carnivora	VulVul3	Chromosome	55675583	2395584468	2025-03-05	GCF_048418805.1-RS_2025_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_009762305.2	9704	Zalophus californianus	Carnivora	mZalCal1.pri.v2	Chromosome	32626160	2409668595	2020-07-14	NCBI Zalophus californianus Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_027574615.1	29078	Eptesicus fuscus	Chiroptera	DD_ASM_mEF_20220401	Chromosome	49033427	2008057866	2023-01-09	GCF_027574615.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_021234435.1	9417	Artibeus jamaicensis	Chiroptera	CSHL_Jam_final	Scaffold	22092642	2108389339	2021-12-20	GCF_021234435.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_951640355.1	3371016	Cnephaeus nilssonii	Chiroptera	mEptNil1.1	Chromosome	2474537	2064102006	2023-05-18	GCF_951640355.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_022682495.2	9430	Desmodus rotundus	Chiroptera	HLdesRot8A.1	Chromosome	6739964	2119704833	2022-03-24	GCF_022682495.2-RS_2025_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_001890085.2	186990	Hipposideros armiger	Chiroptera	ASM189008v1	Scaffold	39869	2236309530	2016-12-06	GCF_001890085.2-RS_2026_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_001595765.1	291302	Miniopterus natalensis	Chiroptera	Mnat.v1	Scaffold	29777	1803099001	2016-03-22	NCBI Miniopterus natalensis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_964146895.1	9433	Miniopterus schreibersii	Chiroptera	mMinSch1.hap1.2	Chromosome	28014000	1850573702	2025-04-05	GCF_964146895.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014108415.1	27622	Molossus molossus	Chiroptera	mMolMol1.p	Scaffold	22174888	2315568481	2020-08-07	NCBI Molossus molossus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000412655.1	109478	Myotis brandtii	Chiroptera	ASM41265v1	Scaffold	23289	2107242811	2013-06-28	NCBI Myotis brandtii Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_963259705.1	98922	Myotis daubentonii	Chiroptera	mMyoDau2.1	Chromosome	3062752	2127807131	2023-08-20	GCF_963259705.1-RS_2023_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000327345.1	225400	Myotis davidii	Chiroptera	ASM32734v1	Scaffold	15182	2059799708	2012-12-20	NCBI Myotis davidii Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000147115.1	59463	Myotis lucifugus	Chiroptera	Myoluc2.0	Scaffold	64330	2034575300	2010-09-14	NCBI Myotis lucifugus Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_014108235.1	51298	Myotis myotis	Chiroptera	mMyoMyo1.p	Scaffold	12511134	2002780556	2020-08-07	NCBI Myotis myotis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_964212035.1	109481	Myotis nattereri	Chiroptera	mMyoNat1.hap1.2	Chromosome	44226636	2138575456	2025-03-28	GCF_964212035.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028538775.1	159337	Myotis yumanensis	Chiroptera	mMyoYum1.0.hap1	Scaffold	28025655	1952483305	2023-02-07	GCF_028538775.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_004126475.2	89673	Phyllostomus discolor	Chiroptera	mPhyDis1.pri.v3	Chromosome	6892556	2108832841	2020-05-12	NCBI Phyllostomus discolor Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_019186645.2	9423	Phyllostomus hastatus	Chiroptera	TTU_PhHast_1.1	Scaffold	31525663	2089223459	2021-07-09	NCBI Phyllostomus hastatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_964339955.1	412090	Pipistrellus hanaki	Chiroptera	mPipHan1.5	Chromosome	48700701	1892165761	2025-07-07	GCF_964339955.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014108245.1	59472	Pipistrellus kuhlii	Chiroptera	mPipKuh1.p	Scaffold	10591995	1775688541	2020-08-07	NCBI Pipistrellus kuhlii Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_963455305.1	61862	Plecotus auritus	Chiroptera	mPleAur1.1	Chromosome	2948753	2163204650	2023-09-14	GCF_963455305.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_021234165.1	1884717	Pteronotus mesoamericanus	Chiroptera	CSHL_Meso_final	Scaffold	31477943	2074649091	2021-12-20	GCF_021234165.1-RS_2024_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000325575.1	9402	Pteropus alecto	Chiroptera	ASM32557v1	Scaffold	31842	1985958707	2013-12-04	NCBI Pteropus alecto Annotation Release 102	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_902729225.1	143291	Pteropus medius	Chiroptera	Ma_sr-lr_union100	Scaffold	255763	1985219947	2020-04-15	GCF_902729225.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000151845.1	132908	Pteropus vampyrus	Chiroptera	Pvam_2.0	Scaffold	21866	2198284804	2014-12-05	NCBI Pteropus vampyrus Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_004115265.2	59479	Rhinolophus ferrumequinum	Chiroptera	mRhiFer1_v1.p	Chromosome	31900497	2075768562	2019-05-16	GCF_004115265.2-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964194185.1	77218	Rhinolophus hipposideros	Chiroptera	mRhiHip2.hap1.1	Chromosome	2014157	2171311786	2024-06-28	GCF_964194185.1-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_036562045.2	89399	Rhinolophus sinicus	Chiroptera	ASM3656204v1	Chromosome	42906106	2036377185	2024-06-26	GCF_036562045.2-RS_2025_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014176215.1	9407	Rousettus aegyptiacus	Chiroptera	mRouAeg1.p	Scaffold	21999313	1893602072	2020-08-07	NCBI Rousettus aegyptiacus Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_036850765.1	59482	Saccopteryx bilineata	Chiroptera	mSacBil1_pri_phased_curated	Chromosome	20156883	2612309609	2024-02-26	GCF_036850765.1-RS_2024_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_036850995.1	249018	Saccopteryx leptura	Chiroptera	mSacLep1_pri_phased_curated	Chromosome	17812205	2576497192	2024-02-26	GCF_036850995.1-RS_2024_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014824575.4	192404	Sturnira hondurensis	Chiroptera	ASM1482457v3	Scaffold	2136421	2096447770	2022-12-28	GCF_014824575.4-RS_2026_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_030445035.2	9361	Dasypus novemcinctus	Cingulata	mDasNov1.1.hap2	Chromosome	13963394	3610534858	2023-07-13	GCF_030445035.2-RS_2025_01	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_902635505.1	9305	Sarcophilus harrisii	Dasyuromorphia	mSarHar1.11	Chromosome	62339597	3086657325	2019-11-07	NCBI Sarcophilus harrisii Annotation Release 103	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_016432865.1	38775	Antechinus flavipes	Dasyuromorphia	AdamAnt_v2	Chromosome	51843704	3192643918	2021-01-06	GCF_016432865.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_048593235.1	9301	Sminthopsis crassicaudata	Dasyuromorphia	ASM4859323v1	Chromosome	4359487	3239981553	2025-03-17	GCF_048593235.1-RS_2025_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_027409185.1	110931	Cynocephalus volans	Dermoptera	mCynVol1.pri	Chromosome	69195939	2814418120	2022-12-28	GCF_027409185.1-RS_2024_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_000696425.1	482537	Galeopterus variegatus	Dermoptera	G_variegatus-3.0.2	Scaffold	20753	3187643824	2014-06-05	NCBI Galeopterus variegatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_027887165.2	13616	Monodelphis domestica	Didelphimorphia	mMonDom1.pri	Chromosome	3910714	3586166573	2026-02-25	GCF_027887165.2-RS_2026_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_016433145.1	191870	Gracilinanus agilis	Didelphimorphia	AgileGrace	Chromosome	73170	3701017385	2021-01-06	NCBI Gracilinanus agilis Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028372415.1	9315	Notamacropus eugenii	Diprotodontia	mMacEug1.pri_v2	Chromosome	15255043	3447464908	2023-02-06	GCF_028372415.1-RS_2025_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_028583685.1	3040969	Petaurus breviceps papuanus	Diprotodontia	PetGlider_PUasm1.0	Scaffold	69635	3464704272	2023-02-10	GCF_028583685.1-RS_2024_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_003287225.1	38626	Phascolarctos cinereus	Diprotodontia	phaCin_HiC	Scaffold	11399805	3192623321	2022-12-12	GCF_003287225.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_011100635.1	9337	Trichosurus vulpecula	Diprotodontia	mTriVul1.pri	Chromosome	4314688	3359330516	2020-03-10	NCBI Trichosurus vulpecula Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_900497805.2	29139	Vombatus ursinus	Diprotodontia	bare-nosed wombat genome assembly	Scaffold	113054	3486580222	2018-12-10	NCBI Vombatus ursinus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_024139225.1	109475	Suncus etruscus	Eulipotyphla	mSunEtr1.pri.cur	Chromosome	5042816	2471666657	2022-07-06	GCF_024139225.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_000260355.1	143302	Condylura cristata	Eulipotyphla	ConCri1.0	Scaffold	46163	1769662895	2012-05-01	NCBI Condylura cristata Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_950295315.1	9365	Erinaceus europaeus	Eulipotyphla	mEriEur2.1	Chromosome	999919	2720683831	2023-05-01	GCF_950295315.1-RS_2023_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_027595985.1	42254	Sorex araneus	Eulipotyphla	mSorAra2.pri	Chromosome	4024507	2405993548	2023-01-09	GCF_027595985.1-RS_2023_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_029834395.1	62283	Sorex fumeus	Eulipotyphla	SorFum_2.1	Contig	42400022	2873555620	2023-04-17	GCF_029834395.1-RS_2023_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_964194135.1	9375	Talpa europaea	Eulipotyphla	mTalEur1.hap1.1	Chromosome	3421604	2060984045	2024-06-28	GCF_964194135.1-RS_2025_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_014898055.3	50954	Talpa occidentalis	Eulipotyphla	MPIMG_talOcc4v2.1	Scaffold	2628036	2080972333	2020-10-19	GCF_014898055.3-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_033115175.1	9983	Lepus europaeus	Lagomorpha	mLepTim1.pri	Chromosome	43409466	2930954587	2023-10-31	GCF_033115175.1-RS_2024_01	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_017591425.1	130825	Ochotona curzoniae	Lagomorpha	NIBS_Ocur_1.0	Scaffold	29562832	2086111946	2021-03-26	NCBI Ochotona curzoniae Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_030435755.1	9978	Ochotona princeps	Lagomorpha	mOchPri1.hap1	Chromosome	12191025	2555444530	2023-07-13	GCF_030435755.1-RS_2023_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_964237555.1	9986	Oryctolagus cuniculus	Lagomorpha	mOryCun1.1	Chromosome	2030165	2804657419	2024-08-31	GCF_964237555.1-RS_2024_11	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000299155.1	28737	Elephantulus edwardii	Macroscelidea	EleEdw1.0	Scaffold	24219	3843982861	2012-10-10	NCBI Elephantulus edwardii Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	true	false	fallback required: no complete or chromosome assembly
GCF_019393635.1	33562	Dromiciops gliroides	Microbiotheria	mDroGli1.pri	Chromosome	38230856	3303199800	2021-08-03	NCBI Dromiciops gliroides Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_015852505.1	9261	Tachyglossus aculeatus	Monotremata	mTacAcu1.pri	Chromosome	19859057	2213004214	2020-12-09	NCBI Tachyglossus aculeatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_004115215.2	9258	Ornithorhynchus anatinus	Monotremata	mOrnAna1.pri.v4	Chromosome	15146802	1859264908	2020-11-06	NCBI Ornithorhynchus anatinus Annotation Release 105	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_037893015.1	92651	Macrotis lagotis	Peramelemorphia	bilby.v1.9.chrom.fasta	Chromosome	1227456	3655715178	2024-04-04	GCF_037893015.1-RS_2025_05	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_041296235.1	9793	Equus asinus	Perissodactyla	EquAss-T2T_v2	Chromosome	102829910	2797756172	2024-12-12	GCF_041296235.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_020826845.1	77932	Diceros bicornis minor	Perissodactyla	mDicBic1.mat.cur	Chromosome	28468213	3005519209	2021-11-10	GCF_020826845.1-RS_2023_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_041296265.1	9796	Equus caballus	Perissodactyla	TB-T2T	Chromosome	99223387	2769438211	2024-08-16	GCF_041296265.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_037783145.1	9798	Equus przewalskii	Perissodactyla	EquPr2	Chromosome	25995503	2499640368	2024-04-01	GCF_037783145.1-RS_2024_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_021613505.1	89248	Equus quagga	Perissodactyla	UCLA_HA_Equagga_1.0	Chromosome	427941	2500914156	2022-01-31	GCF_021613505.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_040802235.1	9974	Manis javanica	Pholidota	MJ_LKY	Chromosome	61244301	2559979548	2024-07-22	GCF_040802235.1-RS_2025_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_030020395.1	143292	Manis pentadactyla	Pholidota	mManPen7.hap1	Chromosome	25547713	2840164579	2023-05-23	GCF_030020395.1-RS_2023_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_015220235.1	27675	Choloepus didactylus	Pilosa	mChoDid1.pri	Chromosome	20994632	3214686105	2020-11-03	NCBI Choloepus didactylus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_023851605.1	48850	Tamandua tetradactyla	Pilosa	mTamTet1.pri	Chromosome	9869167	3205724741	2022-06-22	GCF_023851605.1-RS_2025_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000001405.40	9606	Homo sapiens	Primates	GRCh38.p14	Chromosome	57879411	3099441038	2022-02-03	GCF_000001405.40-RS_2025_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	forced human or mouse
GCF_030222135.1	37293	Aotus nancymaae	Primates	86718_ANA_hifiasm-v0.15.2.pri	Contig	55915596	3097886253	2023-06-07	GCF_030222135.1-RS_2024_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_049354715.1	9483	Callithrix jacchus	Primates	calJac240_pri	Chromosome	137132494	2933409465	2025-04-08	GCF_049354715.1-RS_2025_12	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000164805.1	1868482	Carlito syrichta	Primates	Tarsius_syrichta-2.0.1	Scaffold	38165	3453847770	2013-09-18	NCBI Carlito syrichta Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_001604975.1	2715852	Cebus imitator	Primates	Cebus_imitator-1.0	Scaffold	41196	2717703182	2016-04-04	NCBI Cebus imitator Annotation Release 101	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000955945.1	9531	Cercocebus atys	Primates	Caty_1.0	Scaffold	112942	2848246356	2015-03-19	NCBI Cercocebus atys Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_047675955.1	60711	Chlorocebus sabaeus	Primates	mChlSab1.0.hap1	Chromosome	13913161	3267373866	2025-02-12	GCF_047675955.1-RS_2025_04	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_000951035.1	336983	Colobus angolensis palliatus	Primates	Cang.pa_1.0	Scaffold	38363	2970124662	2015-03-12	NCBI Colobus angolensis palliatus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_041146395.1	859984	Eulemur rufifrons	Primates	OSU_ERuf_1	Chromosome	89959899	2415577446	2024-08-16	GCF_041146395.1-RS_2024_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
